X,Y,OBJECTID,FIRE_ID,ASMNT_TYPE,PRE_ID,POST_ID,NODATA_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,LATITUDE,LONGITUDE,FIRE_TYPE,FIRE_NAME,GREENNESS_THRESHOLD,IG_DATE,ACRES
-103.232009103345,33.0730054994905,5554,NM3307310323219980521,Initial (SS),NULL,50310371998200,-9999,-160,-285,-9999,33.073,-103.232,Wildfire,GRANDE,-9999,1998/05/21 00:00:00+00,1037
-103.476009158531,33.0570054852823,5555,NM3305710347620000307,Initial (SS),NULL,70310372000100,-9999,-100,-275,-9999,33.057,-103.476,Wildfire,GRANDE COMPLEX,-9999,2000/03/07 00:00:00+00,34597
-117.090013635031,46.0330060660966,5556,WA4604511708320130829,Initial,80430282013227,80430282013200,-970,38,462,9999,46.033,-117.09,Wildfire,GRANDE RONDE,-150,2013/08/29 00:00:00+00,1342
-112.082011234074,36.0050054543772,5557,AZ3600511208220070824,Extended,70370352002179,50370352008200,-970,80,189,350,36.005,-112.082,Prescribed Fire,GRANDVIEW,-150,2007/08/24 00:00:00+00,4077
-112.780012269068,43.1440062159,5558,ID4314411278019950909,Initial,50390301995230,50390301995300,-970,50,162,320,43.144,-112.78,Wildfire,GRANDVIEW,-150,1995/09/09 00:00:00+00,2462
-113.022012308581,43.0870061891913,5559,ID4308711302219990918,Initial,50390301999257,70390301999300,-970,50,9999,9999,43.087,-113.022,Wildfire,GRANDVIEW,-150,1999/09/18 00:00:00+00,23031
-108.336010238948,33.173005268034,5560,NM3317310833619860417,Initial,50340371984165,50340371986100,-970,10,179,380,33.173,-108.336,Wildfire,GRANITE,-150,1986/04/17 00:00:00+00,1579
-110.212010555228,32.1070050182733,5561,AZ3210711021219890706,Initial,50350381988167,50350381989200,-970,15,111,250,32.107,-110.212,Wildfire,GRANITE,-150,1989/07/06 00:00:00+00,1173
-111.857011000012,33.7650051716743,5562,AZ3376511185719920623,Initial,50370371988197,50370371992200,-970,-10,87,9999,33.765,-111.857,Wildfire,GRANITE,-150,1992/06/23 00:00:00+00,2517
-116.535013383025,45.293006063432,5563,ID4529311653519940828,Extended,50420291993213,50420291995300,-970,225,362,570,45.293,-116.535,Wildfire,GRANITE,-150,1994/08/28 00:00:00+00,9094
-118.953012435531,35.5370049721583,5564,CA3553711895319970522,Initial,50420351996190,50420351997200,-970,110,365,655,35.537,-118.953,Wildfire,GRANITE,-150,1997/05/22 00:00:00+00,1445
-120.24801287226,37.7160050964852,5565,CA3771612024820000702,Initial,70430341999213,50430342000200,-970,160,240,390,37.716,-120.248,Wildfire,GRANITE,-150,2000/07/02 00:00:00+00,1922
-116.568013409965,45.3990060686535,5566,ID4539911656820050806,Initial,50420282004276,50420282005300,-970,150,9999,9999,45.399,-116.568,Wildfire,GRANITE COMPLEX,-150,2005/08/06 00:00:00+00,37332
-145.541025103464,63.864002206408,5567,AK6386414554119870522,Initial,50680151986216,50680151987200,-970,150,377,650,63.864,-145.541,Wildfire,GRANITE CREEK,-150,1987/05/22 00:00:00+00,40844
-110.44901182746,43.4070064442055,5568,WY4340711044920070718,Extended,50370302004225,50370302008200,-970,140,333,575,43.407,-110.449,Wildfire,GRANITE CREEK,-150,2007/07/18 00:00:00+00,1268
-146.155025980648,64.8100020467402,5569,AK6481014615519900704,Extended,50680151987187,50690141991200,-970,105,387,700,64.81,-146.155,Wildfire,GRANITE T,-150,1990/07/04 00:00:00+00,3607
-146.280025964696,64.7910020262342,5570,AK6479114628020100527,Extended,50690152008236,50680152011200,-970,130,321,560,64.791,-146.28,Prescribed Fire,GRANITE TORS,-150,2010/05/27 00:00:00+00,8107
-107.697010097774,33.0940052876209,5571,NM3309410769720070617,Initial (SS),NULL,50340372007200,-9999,0,-200,-9999,33.094,-107.697,Wildland Fire Use,GRANITE WFU,-9999,2007/06/17 00:00:00+00,1968
-108.315010230448,33.1150052603088,5572,NM3311510831520040625,Extended,50340372003185,50340372005200,-970,60,306,580,33.115,-108.315,Wildland Fire Use,GRANNY WFU,-150,2004/06/25 00:00:00+00,5647
-107.439012032108,48.1220071996767,5573,MT4812210743919950926,Initial,50370271995264,50370271995300,-970,25,200,375,48.122,-107.439,Wildfire,GRANT COUL,-150,1995/09/26 00:00:00+00,3690
-152.986026300461,65.232000835481,5574,AK6523215298620000613,Extended,70730141999263,70730142001300,-970,175,413,700,65.232,-152.986,Wildfire,GRANT CREEK,-150,2000/06/13 00:00:00+00,20086
-152.812026353294,65.2780008621114,5575,AK6527815281220050726,Extended,70720142002264,50720142006300,-970,100,304,550,65.278,-152.812,Wildfire,GRANT DOME,-150,2005/07/26 00:00:00+00,3998
-86.3870056123374,44.1010082960318,5576,MI4411908637020170423,Initial,80220292017091,80220292017100,-970,50,310,9999,44.101,-86.387,Prescribed Fire,GRANT RX,-150,2017/04/23 00:00:00+00,2204
-113.637012289181,42.1860060464457,5577,ID4217711361520160902,Extended,80390312015205,80390312017200,-970,50,350,560,42.186,-113.637,Wildfire,GRAPE,-150,2016/09/02 00:00:00+00,1280
-121.907013448403,40.2070051779011,5578,CA4020712190719880818,Extended,50440321988214,50440321989200,-970,50,313,600,40.207,-121.907,Prescribed Fire,GRAPEVINE,-150,1988/08/18 00:00:00+00,1671
-109.83901050811,32.5460051008226,5579,AZ3256410986820120628,Initial,50350372011214,70350372012200,-970,40,300,9999,32.546,-109.839,Wildfire,GRAPEVINE,-150,2012/06/28 00:00:00+00,17542
-119.08301255677,36.5520050664472,5580,CA3655211908319901008,Initial (SS),NULL,50420351990300,-9999,200,-9999,-9999,36.552,-119.083,Wildfire,GRAPEVINE,-9999,1990/10/08 00:00:00+00,2367
-118.910012370441,34.9020049087023,5581,CA3490211891020030720,Initial,50410362002263,50410362003300,-970,20,300,9999,34.902,-118.91,Wildfire,GRAPEVINE,-150,2003/07/20 00:00:00+00,1955
-82.2470036829645,35.6570069195332,5582,NC3565708224719930412,Initial (SS),NULL,50180351993100,-9999,338,60,-118,35.657,-82.247,Wildfire,GRAPHITE,-9999,1993/04/12 00:00:00+00,626
-115.081012577477,42.2470059296285,5583,ID4224711508120000805,Initial,70410312000218,70410312000200,-970,50,425,9999,42.247,-115.081,Wildfire,GRASS,-150,2000/08/05 00:00:00+00,36388
-102.69700903489,33.8840056616234,5584,TX3388410269720100510,Initial (SS),NULL,50310372010200,-9999,-90,-9999,-9999,33.884,-102.697,Wildfire,GRASS 3,-9999,2010/05/10 00:00:00+00,2587
-101.991008821861,33.1950055786811,5585,TX3319510199120090602,Initial,50300372009141,50300372009200,-970,100,350,9999,33.195,-101.991,Wildfire,GRASS BURN,-150,2009/06/02 00:00:00+00,1424
-102.594009996367,43.272007068956,5586,SD4327210259419870926,Initial,50330301984270,50330301987300,-970,105,475,9999,43.272,-102.594,Wildfire,GRASS CK3,-150,1987/09/26 00:00:00+00,11125
-113.567011807396,38.706005680175,5587,UT3870611356719840619,Initial (SS),NULL,50390331984200,-9999,-50,-210,-9999,38.706,-113.567,Wildfire,GRASS COVE,-9999,1984/06/19 00:00:00+00,2019
-101.365008731474,34.0400057537646,5588,TX3404010136520090122,Initial (SS),NULL,50300362009000,-9999,-50,-9999,-9999,34.04,-101.365,Wildfire,GRASS FIRE,-9999,2009/01/22 00:00:00+00,1354
-156.37102650134,65.6360002184937,5589,AK6563615637120040910,Extended,70760142002212,70760142005200,-970,1,241,500,65.636,-156.371,Wildfire,GRASS LAKE,-150,2004/09/10 00:00:00+00,1420
-100.960009573931,43.1750071805827,5590,SD4317510096019850704,Initial,50320301985121,50320301985200,-970,-30,400,9999,43.175,-100.96,Wildfire,GRASS MT,-150,1985/07/04 00:00:00+00,1171
-144.04402762131,66.4640023216531,5591,AK6646414404420060710,Initial,70690131999251,50690132006200,-970,200,422,700,66.464,-144.044,Wildfire,GRASS RIVER,-150,2006/07/10 00:00:00+00,14704
-116.659012496468,39.6300055467154,5592,NV3963011665919860703,Extended,50410321986171,50410321987200,-970,50,259,500,39.63,-116.659,Wildfire,GRASS VAL,-150,1986/07/03 00:00:00+00,7777
-117.228012032003,34.2670049378427,5593,CA3426711722820071022,Extended,50400362006187,50400362008200,-970,150,283,475,34.267,-117.228,Wildfire,GRASS VALLEY,-150,2007/10/22 00:00:00+00,1463
-116.507012517981,40.0020055951636,5594,NV4000211650720100821,Initial (SS),NULL,50410322010200,-9999,-25,-9999,-9999,40.002,-116.507,Wildfire,GRASS VALLEY,-9999,2010/08/21 00:00:00+00,1302
-117.620012809908,40.6870055707782,5595,NV4070611769720170717,Initial,80420322016229,80420322017200,-970,50,350,9999,40.687,-117.62,Wildfire,GRASS VALLEY,-150,2017/07/17 00:00:00+00,11128
-99.9980087010484,37.7120064369103,5596,KS3775609996820170306,Initial,80300342017051,80300342017100,-970,50,9999,9999,37.712,-99.998,Wildfire,GRASSFIRES 30617,-150,2017/03/06 00:00:00+00,1957
-116.961012978605,42.5790057965364,5597,ID4258511693320120808,Initial,50420302011247,70420302012300,-970,45,295,570,42.579,-116.961,Wildfire,GRASSHOPPER,-150,2012/08/08 00:00:00+00,2676
-120.727013349351,40.8100053234208,5598,CA4081012072720010726,Extended,50440322000215,50440322002200,-970,75,309,575,40.81,-120.727,Wildfire,GRASSHOPPER,-150,2001/07/26 00:00:00+00,1101
-120.128013495963,42.391005499299,5599,OR4239112012820040813,Extended,50440312003191,50440312005200,-970,75,305,569,42.391,-120.128,Wildfire,GRASSY,-150,2004/08/13 00:00:00+00,4109
-81.9300037370558,38.0370074184511,5600,WV3803708193020001102,Initial (SS),NULL,70180342001000,-9999,300,10,-9999,38.037,-81.93,Wildfire,GRASSY FORK,-9999,2000/11/02 00:00:00+00,1039
-115.159012582653,42.1850059170382,5601,ID4218611510920170824,Initial,80400312016263,80400312017200,-970,50,9999,9999,42.185,-115.159,Wildfire,GRASSY HILLS,-150,2017/08/24 00:00:00+00,9490
-80.9580029317397,26.8000049271796,5602,FL2680008095820080501,Initial (SS),NULL,50160412008200,-9999,350,-9999,-9999,26.8,-80.958,Wildfire,GRASSY ISLAND,-9999,2008/05/01 00:00:00+00,1961
-117.363013062835,42.652005767302,5603,OR4265911735820130807,Initial,80420302013204,80420302013200,-970,13,9999,9999,42.652,-117.363,Wildfire,GRASSY MOUNTAIN,-150,2013/08/07 00:00:00+00,15454
-113.571011807227,38.6980056789819,5604,UT3869811357120000723,Initial,50390331999225,50390332000300,-970,60,160,310,38.698,-113.571,Wildfire,GRASSY VALLEY,-150,2000/07/23 00:00:00+00,3284
-115.021013224669,45.9570062651699,5605,ID4596911507620120812,Extended,50410282011224,80410282013200,-970,90,301,550,45.957,-115.021,Wildfire,GRAVE,-150,2012/08/12 00:00:00+00,1444
-106.800010167424,36.3780058266965,5606,NM3637810680020100708,Extended,50340352008167,50340352011200,-970,20,160,9999,36.378,-106.8,Wildfire,GRAVE,-150,2010/07/08 00:00:00+00,1917
-116.193012988218,43.484005944461,5607,ID4348411619319940710,Initial,50420301994168,50420301994200,-970,40,255,500,43.484,-116.193,Wildfire,GRAVEL,-150,1994/07/10 00:00:00+00,1685
-110.305011888096,43.9640065155352,5608,WY4396411030520100819,Extended,50380292008243,50380292011200,-970,10,206,430,43.964,-110.305,Wildfire,GRAVEL,-150,2010/08/19 00:00:00+00,1124
-108.617010315553,33.4180052906908,5609,NM3341610862820170609,Initial,80350372014174,80350372017200,-970,50,350,9999,33.418,-108.617,Wildfire,GRAVEL,-150,2017/06/09 00:00:00+00,3007
-103.8350093393,34.4400056954288,5610,NM3444710387920110410,Initial (SS),NULL,50320362011100,9999,-80,-9999,-9999,34.44,-103.835,Wildfire,GRAVEL PIT,9999,2011/04/10 00:00:00+00,1300
-103.392010162043,43.0650069803378,5611,SD4306510339219960803,Initial,50330301994233,50330301996200,-970,20,325,9999,43.065,-103.392,Wildfire,GRAVEL PIT,-150,1996/08/03 00:00:00+00,1880
-84.2190042411086,35.3040067686906,5612,TN3530808422120140314,Initial,50190362010099,70190362014100,-970,50,300,9999,35.304,-84.219,Wildfire,GRAVELSTAND,-150,2014/03/14 00:00:00+00,1105
-108.388010259405,33.3070052856282,5613,NM3330710838820000724,Extended,70340371999182,50340372001200,-970,100,215,385,33.307,-108.388,Wildfire,GRAVES,-150,2000/07/24 00:00:00+00,7319
-118.336014455971,48.630006114183,5614,WA4863311833720150814,Extended,80440262015160,80440262016200,-970,80,281,520,48.63,-118.336,Wildfire,GRAVES MOUNTAIN,-150,2015/08/14 00:00:00+00,8559
-108.77101022558,31.5700050022978,5615,NM3157010877119890616,Initial,50340381988160,50340381989200,-970,50,194,380,31.57,-108.771,Wildfire,GRAY,-150,1989/06/16 00:00:00+00,28758
-108.842010242239,31.6010050039577,5616,NM3160110884219940420,Initial,50340381993269,50340381994200,-970,100,186,330,31.601,-108.842,Wildfire,GRAY,-150,1994/04/20 00:00:00+00,4303
-93.7400065898426,29.9440052902823,5617,LA2994409374019991024,Initial,50240391997290,50240391999300,-970,60,9999,9999,29.944,-93.74,Wildfire,GRAY,-150,1999/10/24 00:00:00+00,4081
-110.340011837257,43.6110064752615,5618,WY4360211036420110912,Extended (SS),NULL,70370302012200,-300,200,-74,-225,43.611,-110.34,Wildfire,GRAY HILLS,-50,2011/09/12 00:00:00+00,2236
-160.643023628223,62.8339997520202,5619,AK6283416064320050730,Extended,70760162004250,50760162006200,-970,130,342,600,62.834,-160.643,Wildfire,GRAYLING CREEK,-150,2005/07/30 00:00:00+00,44650
-143.196028642276,67.3790024218094,5620,AK6737914319620070708,Extended,50680132004250,50680132008200,-970,135,328,570,67.379,-143.196,Wildfire,GRAYLING CREEK,-150,2007/07/08 00:00:00+00,5441
-142.363027205127,66.1520026346492,5621,AK6615214236320040626,Extended,70660142002158,50660142005200,-970,70,388,725,66.152,-142.363,Wildfire,GRAYLING FORK,-150,2004/06/26 00:00:00+00,51593
-116.300013215902,44.6470060334532,5622,ID4464711630020070830,Extended,50420292006201,50420292008200,-970,90,125,225,44.647,-116.3,Wildfire,GRAYS CREEK,-150,2007/08/30 00:00:00+00,24369
-111.406011968441,43.0270063222162,5623,ID4302711140620011016,Initial,70380302000309,50380302001300,-970,120,9999,9999,43.027,-111.406,Prescribed Fire,GRAYS LAKE,-150,2001/10/16 00:00:00+00,1015
-112.419011667903,39.4140058446814,5624,UT3935311249120120622,Initial,50380332011203,70380332012200,-970,23,9999,9999,39.414,-112.419,Wildfire,GREASE,-150,2012/06/22 00:00:00+00,16155
-95.352007281409,34.7480061712484,5625,OK3474809535220040416,Extended,50260362003193,50260362004200,-970,90,240,9999,34.748,-95.352,Wildfire,GREASE GUN,-150,2004/04/16 00:00:00+00,1390
-108.026010931398,40.8570063455195,5626,CO4085710802620000725,Initial,50360321999268,50360322000300,-970,30,175,9999,40.857,-108.026,Wildfire,GREASEWOOD,-150,2000/07/25 00:00:00+00,2777
-109.763010490087,32.5090050989935,5627,AZ3249210978120150603,Initial,80350382015145,80350382015200,-970,10,230,380,32.509,-109.763,Prescribed Fire,GREASEWOOD 2015 NON-WUI,-150,2015/06/03 00:00:00+00,13968
-108.452010926674,40.090006218199,5628,CO4009010845220010704,Extended,50360322000159,50360322002200,-970,75,201,375,40.09,-108.452,Wildfire,GREASEWOOD COMPLEX,-150,2001/07/04 00:00:00+00,1351
-112.286011925894,41.5510060922474,5629,UT4155111228620030814,Initial,50380312002226,50380312003200,-970,75,9999,9999,41.551,-112.286,Wildfire,GREASEWOOD KNOLLS,-150,2003/08/14 00:00:00+00,1542
-108.16801085276,39.9920062265815,5630,CO3999210816820040606,Extended,50360322003183,50360322005200,-970,139,354,616,39.992,-108.168,Wildland Fire Use,GREASEWOOD WFU,-150,2004/06/06 00:00:00+00,6963
-116.502011811353,33.060004836026,5631,CA3309811647820111001,Initial,70400372011241,50400372011300,-970,95,313,569,33.06,-116.502,Wildfire,GREAT,-150,2011/10/01 00:00:00+00,2261
-84.5430044318207,36.839007068309,5632,KY3683908454320011111,Initial (SS),NULL,50200342001300,-9999,300,-9999,-9999,36.839,-84.543,Wildfire,GREAT GULF,-9999,2001/11/11 00:00:00+00,925
